단원 제목,요약 (100자 이내),키워드
02 고려의 정치·사회와 문화 18,한국사영역 한국사 책1.indb 1 2025. 1. 2. 오후 4:43 이 책의 차례 I 전근대 한국사의 이해 Part I 01 고대 국가의 정치·사회와 문화 6,"['사회와', '차례', '문화', '국가의', '한국사']"
03 조선 시대 정치 운영과 세계관의 변화 30,내용 없음,['내용']
04 양반 신분제 사회와 상품 화폐 경제 39,내용 없음,['내용']
05 흥선 대원군의 정책과 개항 이후 근대적 개혁의 추진 47,II 근대 국민 국가 수립 운동,"['수립', '국민', '근대', '국가', '운동']"
06 근대 국가 수립을 위한 노력 58,내용 없음,['내용']
07 일본의 침략 확대와 국권 수호 운동 68,내용 없음,['내용']
08 개항 이후 경제·사회·문화의 변화 75,내용 없음,['내용']
"09 1910~1920년대 일제의 식민지 정책과 3·1 운동, 대한민국 임시 정부 82",III 일제 식민지 지배와 민족 운동의 전개,"['식민지', '일제', '운동의 전개', '운동의', '전개']"
10 다양한 민족 운동의 전개 92,내용 없음,['내용']
11 사회·문화의 변화와 사회 운동 103,내용 없음,['내용']
12 전시 동원 체제와 광복을 위한 노력 109,내용 없음,['내용']
13 대한민국 정부 수립과 6·25 전쟁 119,IV 대한민국의 발전,['발전']
14 민주화를 위한 노력과 경제 성장 129,내용 없음,['내용']
15 6월 민주 항쟁 이후 사회와 동아시아 평화를 위한 노력 139,내용 없음,['내용']
01 고대 국가의 정치 · 사회와 문화 자료 탐구 후삼국의 성립,책1.indb 2 2025. 1. 2. 오후 4:43 Contents Part 수능 유형 마스터 1회 146 II 수능 유형 마스터 2회 151 수능 유형 마스터 3회 156 ...,"['유형', '유형 마스터', '마스터', '수능 유형', '역사']"
10 EBS 수능특강 한국사_Ⅰ. 전근대 한국사의 이해,교과서의 핵심 내용을 쉽게 1단계 자료 분석에서 핵심 내 1단계 자료 분석 이해할 수 있도록 체계적이 주먹도끼 1. 선사 문화의 전개와 국가의 성립 용과 관련된 주요 자료를 제시 ...,"['신라', '고구려', '고구려의', '성장', '신라의']"
12 EBS 수능특강 한국사_Ⅰ. 전근대 한국사의 이해,"책1.indb 10 2025. 1. 2. 오후 4:43 자료 탐구 후삼국의 성립 1단계 자료 분석 • 견훤은 상주 가은현 사람으로, …… 본래의 성은 이씨였는데 후에 견으로 성...","['신라', '불교', '자료', '1단계 자료', '문항']"
01 03,책1.indb 12 2025. 1. 2. 오후 4:43 대표 기출 확인하기 [2025학년도 수능 6월 모의평가] 1 (가) 시대의 사회 모습으로 가장 적절한 것은? 정답 및 해...,"['정답', '정답 해설', '등을', '것은 정답', '해설 자료에서']"
14 EBS 수능특강 한국사_Ⅰ. 전근대 한국사의 이해,(가)에 들어갈 장면으로 가장 적절한 것은? (가)에 들어갈 내용으로 가장 적절한 것은? 고조선은 중국의 선진 문물을 수용하면서 한때 연과 대립 한국사 수업 영상 할 정도로 강성해...,"['것은', '있습니다', '25', '통치', '01']"
05 07,책1.indb 14 2025. 1. 2. 오후 4:44 정답과 해설 3쪽 [25013-0007] [25013-0009],"['25013', '14', '오후 44', '44', '책1 indb']"
"06 (가) 고구려왕이 군사 30,000명을 이끌고 와서 왕도인 한성",밑줄 친 ‘초기 국가’의 특징을 보여주는 사례로 옳은 것은? 밑줄 친 ‘이 왕’에 대한 설명으로 옳은 것은? 연맹체적 성격의 초기 국가는 우세한 정치 세력이 주변 부 15번 문제입...,"['정치', '회의', '옳은 것은', '옳은', '것은']"
09 11,"밑줄 친 ‘이 나라’에 대한 설명으로 옳은 것은? 을 포위하였다. …… 왕은 어찌할 바를 몰라 수십 명의 이 나라의 관제는 왕의 친족으로 상관(上官)을 삼으며, 족 기병을 거느리고...","['15', '고구려', '25013', '6조', '사회와']"
16 EBS 수능특강 한국사_Ⅰ. 전근대 한국사의 이해,(가) 왕에 대한 설명으로 옳은 것은? (가) 문서에 대한 설명으로 옳은 것은? 한국사 백과사전 검색 이 비는 북한산에 세워져 있었으나 현재 국립 중앙 박물관 신라실에 전 시되어 ...,"['있습니다', '것은', '신라의', '것으로', '한국사']"
13 15,책1.indb 16 2025. 1. 2. 오후 4:44 정답과 해설 3쪽 [25013-0015] [25013-0017],"['25013', '16', '오후 44', '44', '책1 indb']"
18 EBS 수능특강 한국사_Ⅰ. 전근대 한국사의 이해,밑줄 친 ‘이 시기’를 연표에서 옳게 고른 것은? 교사의 질문에 대한 학생의 답변으로 가장 적절한 것은? 이 시기에 중앙의 통제력이 약화된 틈을 타 지방에서는 호 이 향로는 부여 ...,"['것은', '건국', '정치', '통치', '세력']"
20 EBS 수능특강 한국사_Ⅰ. 전근대 한국사의 이해,"책1.indb 18 2025. 1. 2. 오후 4:44 ② 지방 행정 조직 향·부곡·소 향·부곡민은 주로 농업에 종사 5도 일반 행정 구역, 안찰사 파견 하였고, 소민은 광물,...","['관계', '행정', '무신', '권력', '서경']"
22 EBS 수능특강 한국사_Ⅰ. 전근대 한국사의 이해,책1.indb 20 2025. 1. 2. 오후 4:44 (2) 원의 내정 간섭 쌍성총관부 고려 동북부 지역에 설치된 몽 ① 고려의 지위 격하 : 왕실의 용어와 관제 격하 골(원...,"['봉기', '고려의', '개혁', '교육', '받아']"
24 EBS 수능특강 한국사_Ⅰ. 전근대 한국사의 이해,책1.indb 22 2025. 1. 2. 오후 4:44 자료 탐구 묘청의 서경 천도 운동 1단계 자료 분석 (가) 신 등이 보건대 서경 임원역의 땅은 음양가들이 말하는 대화 (...,"['서경', '세력은', '자료', '라고', '정치']"
01 03,책1.indb 24 2025. 1. 2. 오후 4:44 대표 기출 확인하기 [2025학년도 수능 6월 모의평가] 1 밑줄 친 ‘이 왕조’의 문화에 대한 설명으로 옳은 것은? 정...,"['정답', '정답 해설', '고려', '시기에', '것은 정답']"
26 EBS 수능특강 한국사_Ⅰ. 전근대 한국사의 이해,"다음 정책을 시행한 왕의 업적으로 옳은 것은? (가)에 들어갈 내용으로 옳은 것은? ○ 6명의 왕후와 23명의 부인을 두었는데, 황해도 출신이 한국사 사전 가장 많았다. 또한 경기...","['한국사', '옳은 것은', '옳은', '것은', '유교']"
05 07,책1.indb 26 2025. 1. 2. 오후 4:44 정답과 해설 7쪽 [25013-0025] [25013-0027],"['25013', '오후 44', '44', '책1 indb', '책1']"
06 ○ 이자겸은 다른 성이 왕비가 되어 권세와 총애를 나누는,"(가) 전투에 대한 설명으로 옳은 것은? (가), (나) 시기 사이에 있었던 사실로 옳은 것은? (가) 정지상 등이 “개경은 이미 왕업이 쇠하여 궁궐은 모두 불타 버리고 남은 것이...","['이끄는', '것이', '모두', '것은', '여러']"
09 11,"밑줄 친 ‘우리’에 대한 고려의 정책으로 옳은 것은? 것을 두려워하여 세 번째 딸을 왕비로 맞이할 것을 강하 옛날 태사인 영가가 이르기를, “우리 조상도 고려로부터 나 게 요청하니...","['고려의', '우리', '것을', '25013', '왕이']"
10 12,"(가) 사건에 대한 설명으로 옳은 것은? (가) 왕에 대한 설명으로 옳은 것은? 고려의 무신은 대체로 문신에 비해 업신여 몽골 군사가 와서 침범하자, 용진현 사람 조휘와 정주 사람...","['여러', '설명으로', '설명으로 옳은', '옳은', '옳은 것은']"
28 EBS 수능특강 한국사_Ⅰ. 전근대 한국사의 이해,(가)에 들어갈 내용으로 옳은 것은? 교사의 질문에 대한 학생의 답변으로 가장 적절한 것은? 자료는 고려의 신분 구성을 나타낸 것입니다. (가) 계층에 대 『고려사』 연표 해 발표...,"['고종', '것은', '고위', '내용으로', '자료는']"
13 15,책1.indb 28 2025. 1. 2. 오후 4:44 정답과 해설 7쪽 [25013-0033] [25013-0035],"['25013', '오후 44', '44', '책1 indb', '책1']"
30 EBS 수능특강 한국사_Ⅰ. 전근대 한국사의 이해,다음 자료를 활용한 탐구 주제로 가장 적절한 것은? 밑줄 친 ‘편찬’이 이루어진 시기를 연표에서 옳게 고른 것은? ○ 이의민은 경주 사람이다. 그의 아버지 이선은 소금과 체 신 김...,"['6조', '정치', '건국', '실시', '조선의']"
32 EBS 수능특강 한국사_Ⅰ. 전근대 한국사의 이해,책1.indb 30 2025. 1. 2. 오후 4:44 (2) 지방 행정 조직 과거의 종류 문과는 문관을 선발하는 시험 ① 행정 구역 : 전국을 8도로 나누고 그 아래에 군현 ...,"['정치', '외교', '세력', '설치', '정치적']"
34 EBS 수능특강 한국사_Ⅰ. 전근대 한국사의 이해,책1.indb 32 2025. 1. 2. 오후 4:44 ③ 전개 광해군의 중립적인 외교 후금의 공격을 받은 명이 조선 •이순신이 이끄는 수군의 활약(한산도 대첩 등) 관군 종성...,"['관계', '이끄는', '청의', '전개', '조선']"
01 03,책1.indb 34 2025. 1. 2. 오후 4:44 대표 기출 확인하기 [2025학년도 수능] 1 (가) 인물의 활동으로 옳은 것은? 정답 및 해설 이 비각에는 국가유산으로...,"['정답', '정답 해설', '조선', '관계', '해설 자료에서']"
02 ‘대책(對策)’은 조선의 관리 등용 제도인 (가) 와/과,(가) 인물에 대한 설명으로 옳은 것은? (가) 국가에 대한 설명으로 옳은 것은? 문학으로 배우는 한국사 선생님 ★참★ 한국사 형성 평가 확인 잘했어요! 흉악한 우왕과 최영이 감히...,"['파견하였다', '설명으로', '설명으로 옳은', '반포하였다', '옳은']"
36 EBS 수능특강 한국사_Ⅰ. 전근대 한국사의 이해,"다음 자료를 활용한 탐구 주제로 가장 적절한 것은? 연관이 있다. 조선의 (가) 은/는 문과, 무과, 잡과 로 구분되는데, 그중 문과는 문관을 선발하는 시험이었 • 감찰은 사헌부의...","['가장', '언론', '체제', '왕이', '신라의']"
05 07,책1.indb 36 2025. 1. 2. 오후 4:44 정답과 해설 10쪽 [25013-0042] [25013-0044],"['25013', '오후 44', '44', '책1 indb', '책1']"
06 도요토미 히데요시는 …… 지난 임진년에 특히 그 부강한,(가) 정치 세력에 대한 설명으로 옳은 것은? 다음 자료를 활용한 탐구 활동으로 가장 적절한 것은? (가) 이/가 동인과 서인으로 나뉜 뒤로 당파의 색목 순조는 보위에 오른 지 오...,"['것은', '옳은 것은', '옳은', '결성', '등이']"
09 11,밑줄 친 ‘전하’에 대한 설명으로 옳은 것은? 형세로써 교린의 의리는 생각지도 않고 감히 천조를 토벌하 전하께서 규장각을 설치한 것은 실로 전대(前代)의 훌륭한 겠다며 망령되이 벌...,"['25013', '것은', '같은', '것으로', '03']"
38 EBS 수능특강 한국사_Ⅰ. 전근대 한국사의 이해,밑줄 친 ‘전쟁’ 중에 있었던 사실로 옳은 것은? 다음 문서가 작성된 시기를 연표에서 옳게 고른 것은? 전쟁 당시 임금이 서쪽으로 가서 나라 안이 텅 비고 적병으 청의 황제가 조선...,"['발발', '관계를', '것은', '옳은 것은', '옳은']"
40 EBS 수능특강 한국사_Ⅰ. 전근대 한국사의 이해,책1.indb 38 2025. 1. 2. 오후 4:44 04 양반 신분제 사회와 상품 화폐 경제 1. 양반 중심의 신분 질서 확립 조선의 신분 구조 (1) 조선의 신분 제도 양...,"['화폐', '무역', '조선', '성장', '것이다']"
42 EBS 수능특강 한국사_Ⅰ. 전근대 한국사의 이해,"책1.indb 40 2025. 1. 2. 오후 4:44 ③ 상민 납속책 정부가 재정 부족 문제를 해결 • 일부 농민이 광작 등을 통해 부농층으로 성장 → 납속책, 공명첩, 족보...","['농민', '있는', '봉기', '자료', '발생']"
44 EBS 수능특강 한국사_Ⅰ. 전근대 한국사의 이해,책1.indb 42 2025. 1. 2. 오후 4:44 자료 탐구 세도 정치 시기의 농민 봉기 1단계 자료 분석 (가) 평서대원수는 급히 격문을 띄우노니 우리 관서 사람들은 모...,"['정답', '경제', '정답 해설', '물산 장려', '물산']"
01 03,책1.indb 44 2025. 1. 2. 오후 4:44 수능 유 형 익히기 정답과 해설 13쪽 [25013-0052] [25013-0054],"['44', '25013', '44 수능', '수능 익히기', '익히기']"
02 력의 증대를 가져왔다는 점에서 의미가 있기 때문입니다.,(가) 신분에 대한 설명으로 옳은 것은? (가)에 들어갈 내용으로 가장 적절한 것은? (가) 을/를 상속받은 사람은 1년 이내에 관청에 신고 여러분이 서 계신 이곳은 창경궁의 정문...,"['것은', '적절한 것은', '적절한', '가장 적절한', '가장']"
05 07,(가) 제도에 대한 설명으로 옳은 것은? 모둠별 수행 과제 - 조선 후기 풍속화 그리기 - (가) 은/는 실로 백성을 구제하는 데 절실하 게 필요합니다. 경기와 강원도에 이미 시행...,"['화폐', '것이', '모두', '경제', '농지']"
"06 출연 △△△,   ",밑줄 친 ‘이 시기’에 볼 수 있는 모습으로 가장 적절한 것 다음 자료를 활용한 탐구 주제로 가장 적절한 것은? 은? 표충사는 건립한 지 오래되어 이제 수리를 해야만 한다. 비용 ...,"['전투', '있는', '가장 적절한', '적절한', '가장']"
46 EBS 수능특강 한국사_Ⅰ. 전근대 한국사의 이해,"다음 자료에 나타난 시기의 경제 상황으로 옳은 것은? 줄거리 사진 영상 줄거리 사진 영상 공인들이 이르기를, “수달의 가죽은 조공과 진상에 쓰이는 평안도 가산군 다복동에서 백성들이...","['물산 장려', '물산', '장려', '전투', '해산']"
48 EBS 수능특강 한국사_Ⅱ. 근대 국민 국가 수립 운동,책1.indb 46 2025. 1. 2. 오후 4:44 05 흥선 대원군의 정책과 개항 이후 근대적 개혁의 추진 1. 흥선 대원군의 개혁 정치 대전회통 정조 때 편찬된 『대전통...,"['흥선', '통상', '배경', '사건', '과정']"
50 EBS 수능특강 한국사_Ⅱ. 근대 국민 국가 수립 운동,책1.indb 48 2025. 1. 2. 오후 4:44 (2) 서양 열강과 조약 체결 거중 조정 조약을 맺은 두 나라 중 한 나 ① 조미 수호 통상 조약(1882) 라가 제3국...,"['개화', '조약', '외교', '미국과', '조선이']"
52 EBS 수능특강 한국사_Ⅱ. 근대 국민 국가 수립 운동,"책1.indb 50 2025. 1. 2. 오후 4:44 6. 개화파의 분화 : 청에 대한 외교 정책, 개화 추진 방식 등에 따라 분화 동도서기론 조선의 전통적 유교 질서는 유 ...","['청의', '개혁', '급진', '흥선', '하였다']"
54 EBS 수능특강 한국사_Ⅱ. 근대 국민 국가 수립 운동,"책1.indb 52 2025. 1. 2. 오후 4:44 자료 탐구 갑신정변 1단계 자료 분석 (가) 하나, 우정총국 만찬회에는 외교단을 주빈(主賓)으로 하고, 전영사 한규직, ...","['정답', '정답 해설', '일어난', '개화', '해설']"
01 03,책1.indb 54 2025. 1. 2. 오후 4:44 수능 유 형 익히기 정답과 해설 16쪽 [25013-0062] [25013-0064],"['25013', '44 수능', '수능 익히기', '익히기', '오후 44']"
05 07,(가) 인물에 대한 설명으로 옳은 것은? 밑줄 친 ‘침입’에 대한 설명으로 옳은 것은? 고종의 아버지인 (가) 이/가 집권하고 있던 약 10년 동안 의정 광성보에서 중군 이하가 목...,"['것은', '되었다', '25013', '배경이 되었다', '배경이']"
06 [25013-0069],(가) 조약에 대한 탐구 활동으로 가장 적절한 것은? 다음 자료를 활용한 탐구 주제로 가장 적절한 것은? 대체로 서양의 학문이 본래 심히 천리를 어지럽히고 인륜을 멸하는 것임은 다...,"['적절한 것은', '운동의', '적절한', '탐구', '가장 적절한']"
56 EBS 수능특강 한국사_Ⅱ. 근대 국민 국가 수립 운동,밑줄 친 ‘사절단’에 대한 설명으로 옳은 것은? 08 밑줄 친 ‘봉기’에 대한 설명으로 옳은 것은? 김윤식과 그 일행의 주요 활동 개화가 된 이후 장안의 사람들은 일본인의 이야기만...,"['11', '설명으로 옳은', '설명으로', '되었다', '옳은 것은']"
09 11,책1.indb 56 2025. 1. 2. 오후 4:44 정답과 해설 16쪽 [25013-0070] [25013-0072],"['25013', '오후 44', '44', '책1 indb', '책1']"
58 EBS 수능특강 한국사_Ⅱ. 근대 국민 국가 수립 운동,(가)에 들어갈 내용으로 가장 적절한 것은? 다음 편지가 작성된 시기를 연표에서 옳게 고른 것은? ■ 학습 주제 : 온건 개화파의 특징 영국 영사에게 알립니다. 근래 국내에 전해지...,"['동학', '봉기', '체결', '전주', '농민']"
60 EBS 수능특강 한국사_Ⅱ. 근대 국민 국가 수립 운동,책1.indb 58 2025. 1. 2. 오후 4:44 (4) 동학 농민 운동의 성격과 영향 교정청 전주 화약 체결 이후 정부가 개 성격 양반 중심의 신분 질서 및 정치·사회 ...,"['독립', '개혁', '동학', '국정', '내각']"
62 EBS 수능특강 한국사_Ⅱ. 근대 국민 국가 수립 운동,"책1.indb 60 2025. 1. 2. 오후 4:44 (5) 의의와 한계 구본신참 옛것을 근본으로 하고 새로운 민중 계몽에 기반을 둔 근대화 운동 전개, 자유 민권 의식 신장...","['독립', '토지', '있는', '제국의', '크게']"
64 EBS 수능특강 한국사_Ⅱ. 근대 국민 국가 수립 운동,"책1.indb 62 2025. 1. 2. 오후 4:44 자료 탐구 대한 제국 1단계 자료 분석 (가) 대황제 폐하는 대원수로서 군기(軍機)를 총람하고 육해군을 통솔하며, 황태자...","['정답', '정답 해설', '개혁의', '제국은', '해설']"
01 03,책1.indb 64 2025. 1. 2. 오후 4:44 수능 유 형 익히기 정답과 해설 19쪽 [25013-0076] [25013-0078],"['25013', '44 수능', '수능 익히기', '익히기', '오후 44']"
05 07,다음 자료를 활용한 탐구 주제로 가장 적절한 것은? (가) 운동에 대한 설명으로 옳은 것은? 지난 경신년 여름 4월에 하늘이 보우하사 경상도 경주의 최 문학으로 만나는 한국사 제우...,"['한국사', '25013', '것은', '운동의', '자료는']"
66 EBS 수능특강 한국사_Ⅱ. 근대 국민 국가 수립 운동,"(가), (나) 시기 사이에 있었던 사실로 옳은 것은? 밑줄 친 ‘이 개혁’의 내용으로 옳은 것은? (가) (나) [사료로 보는 한국사] 한국사 신문 한국사 신문 어제 갑자기 내각...","['한국사', '것은', '신문', '러시아', '의해']"
09 11,책1.indb 66 2025. 1. 2. 오후 4:44 정답과 해설 19쪽 [25013-0084] [25013-0086],"['25013', '오후 44', '44', '책1 indb', '책1']"
10 대황제 폐하는 대원수로서 군기(軍機)를 총람하고 육해군을,(가) 단체에 대한 설명으로 옳은 것은? (가) 정부 시기에 볼 수 있는 모습으로 가장 적절한 것은? 공공의 의견으로 (가) 을/를 발기하여 옛 영은문 자 이 석고는 고종의 즉위 ...,"['있습니다', '학생', '것은', '설명으로', '운동을']"
68 EBS 수능특강 한국사_Ⅱ. 근대 국민 국가 수립 운동,"밑줄 친 ‘조항’의 영향으로 가장 적절한 것은? 통솔하며, 황태자 전하는 원수로서 육해군을 일률적으로 통 그들은 관리들에게 통문을 돌려 모이게 하는가 하면, 자리를 솔한다. 이에 ...","['한일', '조약', '일본의', '제국', '제국의']"
70 EBS 수능특강 한국사_Ⅱ. 근대 국민 국가 수립 운동,책1.indb 68 2025. 1. 2. 오후 4:44 2. 항일 의병 운동 나철의 을사오적 암살 시도 을사늑약 체결 이후 나철은 평 (1) 을사늑약에 대한 항거 화적인 방법에...,"['의병', '활동', '일제의', '국권', '해산']"
72 EBS 수능특강 한국사_Ⅱ. 근대 국민 국가 수립 운동,책1.indb 70 2025. 1. 2. 오후 4:44 자료 탐구 을사늑약에 대한 항거 1단계 자료 분석 (가) 작년 10월에 저들이 한 행위는 만고에 없었던 일이다. 하룻밤 ...,"['정답', '정답 해설', '제국의', '일본이', '해설']"
01 03,책1.indb 72 2025. 1. 2. 오후 4:44 수능 유 형 익히기 정답과 해설 21쪽 [25013-0089] [25013-0091],"['25013', '44 수능', '수능 익히기', '익히기', '72']"
02 04,밑줄 친 ‘협정’이 체결된 시기를 연표에서 옳게 고른 것은? 밑줄 친 ‘이 조약’에 대한 설명으로 옳은 것은? 외교 보고서 이것은 이 조약의 부당함을 고발하며 스스로 목숨을 끊은 ...,"['일본', '한국', '외교', '조약', '재정']"
05 07,밑줄 친 ‘그들’이 파견된 배경으로 가장 적절한 것은? 밑줄 친 ‘의병’에 대한 설명으로 옳은 것은? 그들은 자신들이 만국 평화 회의에 참석하지 못한 것과 일 하늘이 돌보지 않아 ...,"['평화', '회의에', '청산리', '침략', '25013']"
06 하지만 일본은 러일 전쟁 중에 이 섬을 주인이 없는 땅이라며 자국 영,"밑줄 친 ‘조칙’의 영향으로 가장 적절한 것은? (가) 단체에 대한 설명으로 옳은 것은? S#31. 1912년 12월, 경성 복심 법원 공개 법정 이달의 독립운동가 윤치호 등 10...","['것은', '조선', '적절한 것은', '적절한', '가장 적절한']"
